gamma,f1_at_5,mean_seam_offset,n_with_seam,n_total
-2.0,0.42125,57.41869522882181,1924,4000
-1.8,0.45675,37.745064377682404,1924,4000
-1.6,0.512,23.92490118577075,1924,4000
-1.4,0.5805,13.776603773584906,1924,4000
-1.2,0.64725,9.026928675400292,1924,4000
-1.0,0.69175,7.245947850599014,1924,4000
-0.7999999999999998,0.72925,5.720757268424611,1924,4000
-0.5999999999999999,0.77175,4.545632333767927,1924,4000
-0.3999999999999999,0.803,3.9993678887484196,1924,4000
-0.19999999999999996,0.8395,3.0207570207570207,1924,4000
0.0,0.86125,2.621654501216545,1924,4000
0.20000000000000018,0.80575,4.274547803617571,1924,4000
0.40000000000000036,0.7705,4.847599164926931,1924,4000
0.6000000000000001,0.749,4.834090909090909,1924,4000
0.8000000000000003,0.71275,5.167253521126761,1924,4000
1.0,0.67275,5.422198041349293,1924,4000
1.2000000000000002,0.624,5.5015432098765435,1924,4000
1.4000000000000004,0.59825,4.598253275109171,1924,4000
1.6,0.57,4.63768115942029,1924,4000
1.8000000000000003,0.546,2.962962962962963,1924,4000
2.0,0.531,3.6166666666666667,1924,4000
